CALL_ID,AGENT_NAME,CUSTOMER_NAME,CALL_DATE,TRANSCRIPT
CALL-1010,Susan Wagner,Desiree Cain,2024-06-28,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1011,Theodore Mcgrath,Matthew Russo,2024-06-10,Agent: Hello! Thanks for calling our support. Customer: I'm having trouble logging into my account. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1012,Peter Montgomery,Margaret Jones,2024-12-18,"Agent: Hi, how can I help you today? Customer: I need to reset my password but I'm not receiving the email. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1013,Susan Wagner,Alexa Hernandez,2024-11-06,"Agent: Good afternoon, how may I assist you? Customer: I need to reset my password but I'm not receiving the email. Agent: I'll look into the issue right away. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1014,Jorge Sullivan,Joshua Clark,2024-06-27,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1015,Peter Montgomery,Mr. Ryan Sanchez,2024-12-05,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1016,Peter Montgomery,Robin Lopez,2024-10-05,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1017,Norma Fisher,Kimberly Maynard,2025-01-03,"Agent: Good afternoon, how may I assist you? Customer: I need to reset my password but I'm not receiving the email. Agent: Let me guide you through the process. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1018,Brian Hamilton,Matthew Bell,2025-01-20,"Agent: Good afternoon, how may I assist you? Customer: The product I received is damaged. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1019,Susan Levy,Jamie Hutchinson,2024-10-12,"Agent: Good afternoon, how may I assist you? Customer: My order hasn't arrived yet. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1020,Theodore Mcgrath,Kimberly Maynard,2025-04-06,Agent: Hello! Thanks for calling our support. Customer: I need to reset my password but I'm not receiving the email. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1021,Susan Levy,William Roberts,2024-11-19,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1022,Peter Montgomery,Mary Alvarez,2024-11-09,"Agent: Good afternoon, how may I assist you? Customer: The product I received is damaged. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1023,Theodore Mcgrath,Jennifer Morales,2025-01-19,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1024,Susan Wagner,Cheryl Bradley,2025-04-22,"Agent: Good afternoon, how may I assist you? Customer: I need to reset my password but I'm not receiving the email. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1025,Jorge Sullivan,April Snyder,2025-04-10,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1026,Jorge Sullivan,Michelle Hughes,2024-09-03,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1027,Susan Levy,Jennifer Summers,2025-03-20,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1028,Susan Wagner,John Richards,2024-11-10,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1029,Susan Levy,Janice Johnston,2024-11-10,Agent: Hello! Thanks for calling our support. Customer: I'm having trouble logging into my account. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1030,Peter Montgomery,Emily Howard,2025-01-02,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1031,Stephanie Sutton,Cheryl Bradley,2025-01-16,"Agent: Good afternoon, how may I assist you? Customer: I'm having trouble logging into my account. Agent: Let me guide you through the process. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1032,Peter Montgomery,Danielle Castro,2025-04-05,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1033,Susan Wagner,Barbara Sanders,2024-07-18,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1034,Brian Hamilton,Caleb Clark,2024-11-27,"Agent: Hi, how can I help you today? Customer: I need to reset my password but I'm not receiving the email. Agent: Let me guide you through the process. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1035,Elizabeth Woods,Kimberly Smith,2024-12-23,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1036,Peter Montgomery,Joseph Jones,2025-04-27,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1037,Brian Hamilton,Nicholas Kline,2024-07-24,"Agent: Hi, how can I help you today? Customer: I'm being charged incorrectly on my bill. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1038,Norma Fisher,Brandi Meyer,2024-05-04,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1039,Theodore Mcgrath,Richard Higgins,2024-09-10,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1040,Susan Levy,Sarah Villanueva,2025-01-30,"Agent: Good afternoon, how may I assist you? Customer: My order hasn't arrived yet. Agent: Let me guide you through the process. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1041,Stephanie Collins,Joseph Jones,2025-02-15,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1042,Theodore Mcgrath,Lauren Hayes,2025-04-15,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1043,Susan Levy,Jamie Hutchinson,2024-09-01,"Agent: Hi, how can I help you today? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1044,Norma Fisher,Whitney Stark,2025-03-14,Agent: Hello! Thanks for calling our support. Customer: I'm having trouble logging into my account. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1045,Elizabeth Woods,Joseph Freeman,2024-09-02,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1046,Norma Fisher,Dana Nguyen,2024-05-14,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I'll look into the issue right away. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1047,Norma Fisher,Jamie Hutchinson,2024-11-20,"Agent: Hi, how can I help you today? Customer: I need to reset my password but I'm not receiving the email. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1048,Elizabeth Woods,Kimberly Smith,2024-06-27,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1049,Susan Wagner,Kimberly Smith,2025-04-05,"Agent: Good afternoon, how may I assist you? Customer: I'm having trouble logging into my account. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1050,Jorge Sullivan,Autumn Robinson,2024-08-08,"Agent: Hi, how can I help you today? Customer: I need to reset my password but I'm not receiving the email. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1051,Peter Montgomery,Nicholas Kline,2024-12-21,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1052,Jorge Sullivan,Jennifer Summers,2025-03-01,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1053,Elizabeth Woods,Joseph Jones,2024-06-30,"Agent: Good afternoon, how may I assist you? Customer: My order hasn't arrived yet. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1054,Peter Montgomery,Jennifer Summers,2025-03-24,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1055,Peter Montgomery,Albert Williams,2024-09-25,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1056,Susan Levy,Joseph Jones,2024-12-13,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1057,Brian Hamilton,Angela Salazar,2024-08-23,"Agent: Hi, how can I help you today? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1058,Norma Fisher,Kimberly Myers,2025-02-03,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I'll look into the issue right away. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1059,Theodore Mcgrath,Paul Brown,2025-01-30,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1060,Norma Fisher,Brian Green,2025-03-10,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1061,Theodore Mcgrath,Michelle Hughes,2024-10-30,"Agent: Good afternoon, how may I assist you? Customer: The product I received is damaged. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1062,Stephanie Sutton,John Richards,2024-05-26,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1063,Brian Hamilton,John Richards,2025-03-07,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1064,Peter Montgomery,Jamie Hutchinson,2024-06-02,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1065,Stephanie Sutton,Jason Carroll,2024-11-17,Agent: Hello! Thanks for calling our support. Customer: I'm having trouble logging into my account. Agent: Let me guide you through the process. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1066,Stephanie Sutton,Jennifer Morales,2025-04-03,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1067,Elizabeth Woods,Whitney Stark,2025-04-21,"Agent: Good afternoon, how may I assist you? Customer: I need to reset my password but I'm not receiving the email. Agent: Let me guide you through the process. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1068,Jorge Sullivan,Tasha Rodriguez,2024-05-16,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1069,Stephanie Collins,Kimberly Smith,2024-05-26,"Agent: Hi, how can I help you today? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1070,Peter Montgomery,Joseph Freeman,2024-07-27,Agent: Hello! Thanks for calling our support. Customer: I need to reset my password but I'm not receiving the email. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1071,Jorge Sullivan,Douglas Allen,2024-06-20,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1072,Stephanie Collins,Autumn Robinson,2024-05-16,Agent: Hello! Thanks for calling our support. Customer: I'm having trouble logging into my account. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1073,Norma Fisher,Jennifer Miller,2024-08-25,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1074,Stephanie Collins,Caleb Clark,2024-05-06,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1075,Elizabeth Woods,Collin Lopez,2025-02-19,"Agent: Hi, how can I help you today? Customer: I'm being charged incorrectly on my bill. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1076,Brian Hamilton,Stephanie Lawrence,2025-03-24,"Agent: Hi, how can I help you today? Customer: I need to reset my password but I'm not receiving the email. Agent: Let me guide you through the process. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1077,Susan Levy,Matthew Smith,2024-10-22,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1078,Theodore Mcgrath,Mitchell Smith,2024-09-06,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with.
CALL-1079,Susan Wagner,Kimberly Smith,2025-03-31,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1080,Brian Hamilton,Desiree Cain,2024-07-02,Agent: Hello! Thanks for calling our support. Customer: I need to reset my password but I'm not receiving the email. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1081,Susan Levy,William Gonzalez,2025-03-07,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1082,Brian Hamilton,Cheryl Bradley,2024-06-27,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1083,Peter Montgomery,Kimberly Smith,2025-04-03,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1084,Stephanie Sutton,Douglas Allen,2025-01-10,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1085,Norma Fisher,Susan Williams,2024-10-26,"Agent: Hi, how can I help you today? Customer: I need to reset my password but I'm not receiving the email. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1086,Stephanie Collins,Austin Boyer,2024-09-22,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1087,Stephanie Collins,Miss Angela Swanson DVM,2024-11-13,Agent: Hello! Thanks for calling our support. Customer: I need to reset my password but I'm not receiving the email. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1088,Norma Fisher,Gary Perry,2024-09-26,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1089,Susan Levy,Caleb Clark,2025-04-15,Agent: Hello! Thanks for calling our support. Customer: I'm having trouble logging into my account. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1090,Peter Montgomery,Barbara Sanders,2024-11-22,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: Let me guide you through the process. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1091,Elizabeth Woods,David Williams,2024-11-12,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1092,Theodore Mcgrath,Bobby Flores,2024-05-14,"Agent: Hi, how can I help you today? Customer: I'm being charged incorrectly on my bill. Agent: Let me guide you through the process. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1093,Stephanie Sutton,Alexa Hernandez,2024-12-09,"Agent: Good afternoon, how may I assist you? Customer: I'm having trouble logging into my account. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1094,Stephanie Collins,Dana Nguyen,2024-06-05,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1095,Norma Fisher,Janice Johnston,2025-01-19,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1096,Susan Levy,Marc Williams,2025-03-05,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1097,Brian Hamilton,Joseph Jones,2025-03-09,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1098,Jorge Sullivan,Bobby Flores,2024-11-18,"Agent: Good afternoon, how may I assist you? Customer: I'm being charged incorrectly on my bill. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1099,Theodore Mcgrath,Joseph Jones,2025-02-19,"Agent: Hi, how can I help you today? Customer: I need to reset my password but I'm not receiving the email. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1100,Stephanie Collins,William Gonzalez,2024-12-20,"Agent: Good afternoon, how may I assist you? Customer: I'm having trouble logging into my account. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1101,Norma Fisher,Michelle Hughes,2024-05-30,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1102,Theodore Mcgrath,William Roberts,2025-02-15,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1103,Peter Montgomery,April Snyder,2024-10-13,"Agent: Good afternoon, how may I assist you? Customer: I need to reset my password but I'm not receiving the email. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1104,Susan Wagner,Laurie Wallace,2025-04-17,"Agent: Good afternoon, how may I assist you? Customer: I need to reset my password but I'm not receiving the email. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1105,Brian Hamilton,Caroline Chambers,2025-02-18,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: Let me guide you through the process. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1106,Stephanie Collins,Kimberly Maynard,2024-07-20,"Agent: Hi, how can I help you today? Customer: I'm being charged incorrectly on my bill. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1107,Stephanie Collins,Andrew Gould,2024-08-21,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: Let me guide you through the process. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1108,Stephanie Collins,April Snyder,2024-11-24,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1109,Theodore Mcgrath,Michelle Kelley,2025-04-15,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I understand. Let me check that for you. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1110,Theodore Mcgrath,Angela Salazar,2024-12-19,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1111,Susan Levy,Desiree Cain,2024-10-10,"Agent: Hi, how can I help you today? Customer: I'm having trouble logging into my account. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1112,Jorge Sullivan,Debbie Waters MD,2025-03-17,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I'll look into the issue right away. Customer: Thank you! Agent: Let us know if there's anything else we can help with."
CALL-1113,Norma Fisher,Alexa Hernandez,2024-11-04,"Agent: Hi, how can I help you today? Customer: The product I received is damaged. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1114,Jorge Sullivan,Miss Angela Swanson DVM,2025-03-25,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1115,Susan Wagner,Patrick Rogers,2025-03-04,Agent: Hello! Thanks for calling our support. Customer: I'm being charged incorrectly on my bill. Agent: I'll look into the issue right away. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
CALL-1116,Brian Hamilton,Joshua Carter,2024-09-28,Agent: Hello! Thanks for calling our support. Customer: The product I received is damaged. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!
CALL-1117,Jorge Sullivan,Jesse Sparks,2024-12-22,"Agent: Good afternoon, how may I assist you? Customer: My order hasn't arrived yet. Agent: I'm really sorry to hear that. Let's get this fixed. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1118,Elizabeth Woods,Sarah Villanueva,2024-12-14,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1119,Susan Wagner,Austin Boyer,2024-07-30,"Agent: Hi, how can I help you today? Customer: My order hasn't arrived yet. Agent: I'll look into the issue right away. Customer: Thank you! Agent: We appreciate your patience. Goodbye!"
CALL-1120,Norma Fisher,Sarah Villanueva,2025-03-27,"Agent: Good afternoon, how may I assist you? Customer: I'm having trouble logging into my account. Agent: Let me guide you through the process. Customer: Thank you! Agent: Thank you for calling. Have a great day!"
CALL-1121,Jorge Sullivan,Sarah Villanueva,2025-04-01,Agent: Hello! Thanks for calling our support. Customer: My order hasn't arrived yet. Agent: I can help with that. Please hold on a moment. Customer: Thank you! Agent: We appreciate your patience. Goodbye!
